UID          PID    PPID  C STIME TTY          TIME CMD
steve       1241     838  0 14:21 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
steve       1246     838  0 14:21 ?        00:00:00 /usr/libexec/evolution-calendar-factory
steve       1255     838  0 14:21 ?        00:00:00 /usr/libexec/dconf-service
steve       1256     838  0 14:21 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
steve       1269     838  0 14:21 ?        00:00:00 /usr/libexec/goa-identity-service
steve       1274     838  0 14:21 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
root        1285       1  0 14:21 ?        00:00:06 /usr/libexec/packagekitd
steve       1295     911  0 14:21 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
steve       1305     838  0 14:21 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
steve       1306     838  0 14:21 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
steve       1312     838  0 14:21 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
steve       1313     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-a11y-settings
steve       1317    1312  0 14:21 ?        00:00:02 /usr/bin/ibus-daemon --panel disable
steve       1318     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-color
steve       1319     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-datetime
steve       1322     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-housekeeping
steve       1323     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-keyboard
steve       1329     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-media-keys
steve       1331     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-power
steve       1333     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-print-notifications
steve       1334     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-rfkill
steve       1337     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
steve       1338     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-sharing
steve       1339     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-smartcard
steve       1354     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-sound
steve       1356     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-wacom
steve       1387    1317  0 14:21 ?        00:00:00 /usr/libexec/ibus-memconf
steve       1390    1317  0 14:21 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
steve       1400     838  0 14:21 ?        00:00:00 /usr/libexec/ibus-portal
steve       1410    1003  0 14:21 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
steve       1427    1003  0 14:21 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
steve       1460     838  0 14:21 ?        00:00:00 /usr/libexec/gsd-printer
steve       1477     838  0 14:21 ?        00:00:04 /snap/snap-store/638/usr/bin/snap-store --gapplication-service
steve       1517    1317  0 14:21 ?        00:00:00 /usr/libexec/ibus-engine-simple
steve       1522     838  0 14:21 ?        00:00:00 /usr/libexec/gvfsd-metadata
steve       1603     838  0 14:21 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
colord      1618       1  0 14:22 ?        00:00:00 /usr/libexec/colord
steve       1619     838  0 14:22 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
steve       1653     838  0 14:22 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
steve       2140     838  0 14:22 ?        00:00:06 /usr/libexec/gnome-terminal-server
steve       2158    2140  0 14:22 pts/0    00:00:00 bash
steve       2177    1003  0 14:22 ?        00:00:00 update-notifier
steve       2305     838  0 14:24 ?        00:00:08 /usr/bin/nautilus --gapplication-service
steve       2333    2140  0 14:24 pts/1    00:00:00 bash
steve       2613    1046  0 14:25 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.H0P241 -listen 4 -listen 5 -displayfd 6 -initfd 7
steve       2617     838  0 14:25 ?        00:00:00 /usr/libexec/gsd-xsettings
steve       2644     838  0 14:25 ?        00:00:00 /usr/libexec/ibus-x11
root        4175       1  0 14:30 ?        00:00:06 /usr/bin/VBoxDRMClient
root        4179       1  0 14:30 ?        00:00:03 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root        5144       2  0 20:22 ?        00:00:04 [kworker/0:2-events]
steve       6093     838  0 20:23 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
steve       6263    6093  0 20:24 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
root        6391       2  0 21:21 ?        00:00:05 [kworker/u4:1-events_unbound]
root        6398       2  0 21:30 ?        00:00:00 [kworker/1:1-events]
root        6706       2  0 21:52 ?        00:00:05 [kworker/u4:3-events_unbound]
root        6961       2  0 21:58 ?        00:00:02 [kworker/u4:2-events_unbound]
steve       6981    1046  0 22:13 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1920:1080:1:27:0:0:0:0
root        7023       2  0 22:13 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root        7260       2  2 22:16 ?        00:00:06 [kworker/u4:0+events_unbound]
root        7627       2  0 22:17 ?        00:00:00 [kworker/1:0-events]
root        7660       2  0 22:19 ?        00:00:00 [kworker/0:1-events]
steve       7922    2333  0 22:21 pts/1    00:00:00 ps -ef
